id,smiles,inchiKey,parentGroupLabel,reactionStep,functionalGroup,stoichiometry,uff_energy,mmff_energy
5382,c1ccc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4,ISXKOFPVAXMPRR-FOCLMDBBSA-N,12,0,F,C16H6S2O2F2,79.66974692,66.02802914
5383,Fc1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)c(F)c4,ITUXXGCMIMDDSL-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.37525192,45.70395587
5399,Fc1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)cc(F)c4,JMTVQYCDSKRKNZ-FOCLMDBBSA-N,12,0,F,C16H2S2O2F6,80.66749787,40.97359567
5403,Fc1c(F)c(F)cc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4F,JREVEXRSWIUZSR-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.57931858,34.2350803
5406,Fc1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)c(F)c4,JUHYJESUUHBDPW-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.37357233,49.92293714
5407,c1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4,JUNYJPALCHLONA-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,79.73719578,42.53310782
5408,c1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4,JUPIMXXZZKOIFU-FOCLMDBBSA-N,12,0,F,C16H6S2O2F2,79.669508,54.12692974
5409,c1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)cc(F)c4,JVWWZMSCWJCQPM-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.0264665,57.30621588
5411,Fc1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4F,JWYSPZMRCCZOLR-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.60139948,48.4491252
5416,c1c(F)c(F)cc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4F,JYSXTXQQWUIMOT-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.14689834,55.07301494
5422,c1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4,KBZIMDXAZVOYES-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,79.93910567,60.95975619
5426,Fc1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4F,KELWIMHOTWUBCA-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.73731594,47.70982341
5431,Fc1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4,KIOXEKDEFRYTMZ-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.37668981,60.33655297
5440,Fc1c(F)ccc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4F,KXFFMUNSUFGGKC-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.51068594,52.76902157
5446,Fc1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4F,LBGHKKNYMSZZAT-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.66972669,33.39242406
5448,c1c(F)ccc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4,LCIXKIJQFKEEKT-FOCLMDBBSA-N,12,0,F,C16H7S2O2F,79.44633394,62.0951209
5449,Fc1c(F)c(F)cc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)c(F)c4F,LDMWXGQGEQCHRQ-FOCLMDBBSA-N,12,0,F,C16H2S2O2F6,80.78313654,44.32993925
5453,c1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4F,LGTKGJGTKHFHKY-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.30143232,66.55797131
5456,Fc1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4,LKTCFRMODOCURE-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.24097322,46.45733213
5463,c1c(F)c(F)cc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4,LRYKUMRXCZVWBW-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,79.64872124,53.86348104
5467,c1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)cc(F)c4,LWBULZGIOKUWFH-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,79.96035223,34.59408597
5472,c1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)ccc4F,LYIOFDCCDDAIDS-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.52901747,57.06439517
5475,Fc1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)c(F)cc4,LZZUYBHBZUMVKO-FOCLMDBBSA-N,12,0,F,C16H2S2O2F6,80.73357211,63.70568049
5491,Fc1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)c(F)c(F)c4F,MMDRIKSSRCEGQV-FOCLMDBBSA-N,12,0,F,C16S2O2F8,81.374766,47.41321533
5492,Fc1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)ccc4,MMIUFAYEZSUIBU-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.394277,57.8480104
5493,c1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)c(F)cc4,MOQKXUXVKDKTCG-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.22805431,71.56807882
5495,Fc1c(F)c(F)cc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4,MPYZSWYOSOQWRL-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.14879623,51.59235354
